tweet_text,label
يارجاااااااااله ينهاااااار﻿ منيييييلل,-1.0
 يستهبلووا,-1.0
ربنا يباركلك يا أستاذي و يعزك,1.0
ياريت حدا عم يواسي السوريين بغربتهن للاسف باب رزق جديد للعرب,1.0
كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا و صيامنا,1.0
فشرت عين الشيعة والله بنحرقهم حر,-1.0
حفظ سور جديدة و تسميعها فى الصلاة يساعد على التركيز,1.0
 سماجه سماجه ووالله البنانيين دمهم ثقيل مره,-1.0
 من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا,-1.0
عنجد بخزي,-1.0
 خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار,-1.0
الانكسار من اسوء الاشياء,-1.0
اللهم ارزقنا وإياك الجنه ,1.0
الله يثبت قلبك على ديننا الاسلام,1.0
 سخافه مالها حدود,-1.0
اللهم أعني على ذكرك و شكرك و حسن عبادتك,1.0
 بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,-1.0
 انا ابو عدولة هذا لو قدامي صدق اني راح العن ابو من جابه,-1.0
نعم الاخ وما أطيب قلبه,1.0
 جميل جدا,1.0
يا رب اللهم اجعلنى خير مما يظنون و اغفر لى ما لا يعلمون,1.0
"يا اخوان ... مش عارف ليش النووي و احنا عندنا النووي الطبيعي ...شمس و رياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) و عندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى 4 اسابيع لما يصلحوه ,,, ايش بده يصير فينا بكره مع النووي ... بالاضافه الى انه ما عندنا ماء نشرب ... من وين بدنا نجيب للتبريد ... الله يهديهم",-1.0
قصة رائعة أفادك الله من العلم لتفيدنا دائما,1.0
ربنا يكتر من امثالك يا مصطفى,1.0
عم الرجال,1.0
  يخرب الدلع,-1.0
عنجد الكذب اكبر ورطه,1.0
قصة رائعه ياريت كل الرجال هيك,1.0
حلوه اوى الحمله دي وربنا يارب يكرمك وكل الي بيتبرعو,1.0
المسلم الفطن النقي يتصرف بما يرضي الله في السر و العلن نسأل الله عز وجل ان نتبع كل ما يرضيه عنا,1.0
,-1.0
انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,-1.0
ﺻﻠـﻲ ﻋﻠﺸـﺎﻥ ﻏﻴﺮﻙ ﻧﻔﺴـﻪ ﻳﻘـﻮﻡ ﻣﻦ ﻗﺒﺮﻩ ﻳﺼﻠـﻲ  ,1.0
هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف,-1.0
طبعا واقع,1.0
 تاااااافهين,-1.0
الى ابن بشار الاسد: كس اخت ابوك:),-1.0
هكذا المسلمون,1.0
ونعمه بالله,1.0
الله اكبر ما احلاكم وما اشجعكم,1.0
المواساة والمحبة بكل الامور رمز الاخوة ,1.0
نحن نحبك في الله و ندعو لك بظهر الغيب,1.0
الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه,-1.0
 اقرفني شعر تقول حاط دبر امل وجاي,-1.0
نعم اردننا غير قابل للتلاعب بارواح ابناءه,-1.0
 تافهين جدا,-1.0
الله يستر على بنات المسلمين جميعا,1.0
 اخييه مااسخفها تقلللد ,-1.0
 والله انك مسخره يا عجوز,-1.0
 تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق,-1.0
اخذت القرار لكن برجع تانى وخايفه اموت وانا بغضب ربنا سبحانه وتعالى مع انى انا حسه انى قلبى مليان وعامر بنور الله اعمل ايه اجوك انصحنى,1.0
هذه من أقوال الرفيق المناضل ,1.0
أن الله موجود,1.0
 لا والله ما بلسه يع,-1.0
جمال الصفحة من جمالكم و رقي اخلاقكم أنا متأكد ان صفحتنا ستعجبك فأنضم الينا و ادعو اصدقائك فنحن نسعد بك و بهم,1.0
انا فعلا مؤمن بالفكرة دي جدا وبحاول انفذها,1.0
باذن الله بديت ولو مؤخرا بنفسى الحمد لله,1.0
اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,1.0
 دمرني النصاني هودعيك يربي بطني,-1.0
ومن احسن قولاممن دعاالي وعمل صالحاووقال انني من المسلمين، ,1.0
الك يوم يا ظالم,-1.0
يا رب بناتنا و شبابنا كلهم يستطيعوا العمل بهذه النصيحة يا ريتا كلنا نتذكر أننا كلنا دعاه للإسلام بأخلاقيتنا و الصفات الحسنة,1.0
 هذا اللى فالحين فيه العرب ، فقط الهبل و التخلف,-1.0
  بيجيبو الشيوخ ليسهزاءو فيهم,-1.0
مااجمل الوفاء,1.0
ربنا يحمى الاسلام والمسلمين,1.0
ربنا يقوي ايمانك,1.0
الله على الظالمين,-1.0
 الغباء واضح,-1.0
اللهم اجعلنى خيرا مما يظنون و اغفر لي ما لا يعلمون,1.0
اصلا كتير من البنات بدهن يحكن مع الشباب,-1.0
اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفة ,-1.0
احلى زبالة  بوجهك,-1.0
تبتنا ياربن علي دكرك وشكرك و حسن الخشوع في صلاتك,1.0
الطبقة الوسطى في طريقها الى الانقراض على يد عبدالله نسور,-1.0
الهم اصلح بنات المسلمين,1.0
يا سلام على الوفاء اللي اتفقد في عصرنا ويا حسرتاه على الحب الذي بات مجرد كلمات,1.0
الله يرزقها كل مشتهي يا رب,1.0
"يا غبي كوادر الإخوان المسلمين في كل يقعة من هالأرض ,, وهمه من الشعب ,,, كيف بدهم يضربوا أرضهم ,,, إصحى !!",-1.0
من احبه الله  حبب به خلقه,1.0
 هذول مساجين ولا ايش ,-1.0
جميلة المعاني المجردة التي تنزوي عند التطبيق ,1.0
من توكل على الله .. يعانق قلبه النور و الصفاء ,1.0
يا امة ضحكت من جهلها الامم,-1.0
اللهم اجعلنا دائما مسلمين صادقين في افكارنا و في اعمالنا,1.0
مؤامره معروفه ضد الشرفاء في هذا البلد,-1.0
تحيه لأهل فلسطين الغاليه,1.0
اللهم اتم علينا مكارم الاخلاق,1.0
اللهم قوِّ إيماننا لنكون أصحاب عزيمة و قرار ,1.0
 هذا تشهير ملعون والدين المفروض ما يعرضونه,-1.0
اللهم اعنا على ذكرك وشكرك وحسن عبادتك,1.0
نفسي افهم من وين جاي يا ابن الكلب ,-1.0
والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير ,1.0
"اللهم معنا علي طاعتك ورضاك وقوي عذامئنا """,1.0
بوركت,
في خطبه وحده رفض شيخ إخواني النووي الاردني ، و مدح النووي الايراني,-1.0
هاد كلو كزب ياهبلة والله,-1.0
 فعلا زي ما حكى اخر شي .... مهزلة .. وانا مهزلة اللي ضيعت وقتي اشوف هيك مسخرة .. فعلا اني مسخرة,-1.0
 58 ثانية كأنه جورج وسوف وهو في الحمام معه اسهــــــــــال تكرمون جميعاااااااااااً ,-1.0
اللهم ثبت قلوبنا على الايمان,1.0
 دلع,-1.0
 أنوا ا ا ا ا ا ا اع الشماته هالكلبا ,-1.0
لا طبعا التقرب الى الله هو خير علاج للحالات النفسية,1.0
"إبداااااااع يا أبو يوسف﻿ ...... و الله حرام يطلع من البرنامج .... العتب على المصوتين ... أتوقع لك مستقبل زاهر يا بطل .. صوت جميل جداً , اللي يقول إنه إنظلم يعطيني ( لايك )",-1.0
املأ رئتيك بعبق السماء مع ولادة صباح جديد تهتز له الحياة و تحتفل .. أيقظ عقلك بالنور .. و ابعث همتك حية متوثبة ، لتطوي نهارك في فرح,1.0
يا مسهـــــــــــــــــــــل يا رب ,1.0
نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعة الفجر و حيوية صبح يتنفس منتشيا و مرحبا بكل مبادر للخير,1.0
 شو هاد البرنامج معقول عرضوه على القنوات!!!!!!!!!!!!!,
 ابو معيتق قطع اوتار العود وقال السلام عليكم ,-1.0
اللهم ارزقنا السلامة و العافية في ديننا و دنيانا,1.0
الحب مش ذل,1.0
اترك ما تهوى لاجل من تخشى ,1.0
والنعم والاخلاق والنعم والصداقه والنعم ف الاخوه,1.0
يسعد اوقاتك ,1.0
اللهم إني اسألك صبراً,1.0
اللهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه,1.0
يا طيبة بالروح افتدينا,1.0
"لن تموت نفس حتى تستكمل رزقها و أجلها , أبذل الجهد و العرق و توكل على الله و اطمئن فرزقك مضمون",1.0
 والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمدة 30 ثانية . . ليهربون لقبرص عن طريق البحر . . سباحة,-1.0
الله يلعنو,-1.0
انا لله و انا اليه راجعون و الله يستر هالبلد,-1.0
 الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم,-1.0
 والله اول واحد سمعته منهم احسب سمااعتي خرباً  يابطني من الضحك والله زااااحفين,-1.0
 يضحكون و م شاففوا انفسهم ، لو قلنا غنوا جابوا الععيد فالحين بس في الظرافةة هـ الشيبان,-1.0
احسن أظن بالله وتوكل عليه وحده,1.0
"رح اجتهد باني اكون حلوة يوم عرسي مش اكون متل القردة """,-1.0
يارب تهدينا إلي الصراط المستقيم,1.0
صباح النور و السرور و الورد المنثور,1.0
 التاسعه تبي تكسر الكميرا,-1.0
 ثكلتك امك,-1.0
 الثاني رايح فيها,-1.0
 غبي انتا اشي !! الصووووت هاد بتشبهو بجورج وسوف,-1.0
صرماتي براس اهلك,-1.0
ما في احلى من الفرح ,1.0
قصد وهو كبير,-1.0
يارب اجعلنى من الصالحين,1.0
مين هااي الي بصورة وئدامها كورس ,-1.0
 بدك الصراحة و بدون زعل جهنم و الزبانية من الملائكة تنتظرك تموت لتشرب من فروج المومسات و صديد اهل النار ان شاء الله يا اوباش سوريا,-1.0
بخزي,-1.0
اميره ممكن اضافه لو سمحتي,1.0
عليا النعمه ابدا لا هو ولا الخروف التاني,-1.0
يا رب قدرنى,1.0
 الظاهر أنه 90% جايين يستهبلون عالحكام بس!!,-1.0
ارحمونا صرنا نصف السيارة و نطلع بالباص حرام عليكم,-1.0
 لجنة تاااافهة,-1.0
ربنا يسهل,1.0
ههههههههههههه شكلو عمرو ماشاف كاميرا تصورو,-1.0
صباح الفل ,1.0
احنا شعب مش عارفين نبني شارع و نعمل له صيانة كيف موضوع مفاعل ما عنا خبرة فيه و كل البلاد المتقدمة بس بلشت تلغي هذا النوع من الطاقة . رحنا لجأنا له. متناسين اننا في منطقة حفرة الانهدام و عرضة للزلازل . و غير اننا عرضة للنصب من خلال الجهل و الفساد المتفاقمين عنا. و غير نسب السرطان المتزايدة بدون واسطة . و بالاخير بقولوا عنا شعب متخلف اذا رفضنا علم صعب التطبيق عنا.. و الاولى انو نراجع ادارة الموارد و الاصلاح و تقويم انفسنا لحل مشاكل الطاقة وغيرها ....,-1.0
اللهم استخدمني ولا تستبدلني,1.0
كلنا ما انتصرنا على نفسنا وعلى الحاجة ددي إلي متعبتنا ومبعدتنا عن الله .، ,1.0
اللهم اجعلنا ممن تنظر اليهم بحب و اشتياق و اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك و احفظنا و قنا نار وقودها الناس و الحجاره يا رب,1.0
 السلام عليكم الحقيقه انا لا اعرف شو وقاحة هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما ,-1.0
 اموت بصوتها,-1.0
لا للمفاعل داخل الأردن,-1.0
اللهم اكرمنا برضاك,1.0
صباح العفو و التسامح صباح الخير لوجه الخير,1.0
 كلام صحيح من شان هيك الدول اللي ما فيها بطالة والمجتمعات المفتوحة بتقل فيها المشاكل النفسية,1.0
طبعا اكيد ﻻ والف ﻻ,-1.0
الكلام في البدايه بكون حلو لاكن من يبقي خير,1.0
نذاله ههههههههههههههههه,-1.0
 فاشل....فاشله....برنامج فاشل,-1.0
 يعني هيك برامج بتبين للناس وين صرنا و كم صارت نسبة التخلف بين شباب امتنا,-1.0
شو عاجبك فيها متلا ؟!لتكون سيارتكم ,-1.0
 وعرض اختي انك لاسع ياادمن عساس لو بدها تضرب من هسة خايفة منك,-1.0
كيف صرت كاتب يا زلمة ؟؟ انت كثير عليك حمار,-1.0
"يا اخوان ... مش عارف ليش النووي و احنا عندنا النووي الطبيعي ...شمس ورياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) وعندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى 4 اسابيع لما يصلحوه ,,, ايش بده يصير فينا بكره مع النووي ... بالاضافه الى انه ما عندنا ماء نشرب ... من وين بدنا نجيب للتبريد ... الله يهديهم",-1.0
ونعم.بالله أرحم الراحمين وأنيس المستوحشين,1.0
 الله يفضح امكم فضحتونا شو هالسخافه ,-1.0
Noاكيد بقرف ,-1.0
اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك ,1.0
 روح انتحر !! ,-1.0
صباح الحب من الله علينا جميعا,1.0
 عاهاتك يا وطن,-1.0
 وش جابني هنا ثقيلين دم,-1.0
عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,-1.0
كل واحد حرامي  و ما بهمو مصلحة المسكين المواطن الي بشتغل 14ساعة ب 6دنانير,-1.0
و كمان بالمقارنة بالدول الأخرى في الجانب التقني فإن مفاعل Atmea1 الفرنسي-الياباني و مفاعل AES92 الروسي لم يتم تجربة تشغيلهما بعد. فالأول لم يبدأ العمل على تصميمه بعد ، لذا لا توجد مراجعة شاملة و عميقة لسلامة التصميم، و بغض النظر عن الأردن فلا توجد أي آفاق تجارية لهذا النموذج حتى اللحظة. أما عن تصميم AES92 فتم في الهند و ذكرت تقارير أنه جاهز للعمل في نهاية 2012، و لم يتم تشغيله لحد الآن,-1.0
" المشكلة ناس بتسمع حالها بالحمام هيه وبتغني,,وبتقتنع خلص",-1.0
اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب,1.0
صراحة الارادة و القناعة هيا الغنى الاكتفاء,1.0
الحب الحقيقي عملة نادرة فعلاً وهو نعمة كبيرة من الله عزوجل,1.0
فعلا ان الطموح هو سر النجاح,1.0
اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه وتبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا,-1.0
اقولها لكل احبابي,1.0
"اللهم ازرقنا رزق حلالا تغننا به عن حرامك , سبحان القادر المقتدر بيده ملكوت كل شيء",1.0
سأبقى رائعا معك إلى النهاية إن بقيتي رائعة معي إلى النهاية,1.0
احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .,-1.0
 والله شككني في البرنامج انة سوبر ستار او برنامج كوميدي,-1.0
ربنا يبارك فيك ويبارك فى كل إللى ساعدك الحمد الله وسبحان الله,1.0
يارب اعنا علي ترك المعاصي ماحيينا,1.0
بارك الله لكما وبارك عليكما وجمع بينكما على خير,1.0
صباح الوجه الصبوح ,1.0
الله يوخدها,-1.0
فما اجمل هذا الدين,1.0
 شو هيدا دلع اخر زمن,-1.0
 غباء في غباء لان نفس الحركه صارت في american idol يعني قلدنه البرنامج وبعد التصرفات اوووف,-1.0
قول يا رب وخد قرار ,1.0
اللهم اغفر له و وسع لك رحمتك له و اصلح له ذريته,1.0
صباحك ورد و ياسمين معطرين بنسمات من الجنة يا شيخنا الجليل حفظك الله من كل سوء ، نحبك في الله,1.0
انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,1.0
نعم الصديق الوفى,1.0
كل شئ في حب الله تهون وحب ربنا أقوى بكتير من أى حاجه,1.0
اللهم تب علينا انك التواب الرحيم,1.0
الله أكرم ألآكرمين اللهم أعنا على أنفسنا واللهم أرضى عنك يارب العالمين,1.0
مسكيييييييييين﻿,-1.0
كلام سليم والصراحه راحه,1.0
كلامك يشعرني بالتفاؤل ... و يمدني بالقوة و الاستمرار,1.0
توكلت عليك يا الله,1.0
اللهم استخدمنا في طاعتك,1.0
بقرف زيك,-1.0
اللهم كن مع اخواننا في سوريا ,1.0
 والشرهه على الاغبياء اللي معطينك لايك .. ,-1.0
مفيش اكرم ولا ارحم من ربنا,1.0
 يلعن ابو التخلف,-1.0
"بني البرنامج النووي الأردني على عدة تصورات خاطئة بشكل خطير تتعلق بالتكنولوجيا , الاقتصاد , الترتيبات التجارية , ملاءمة منظومة الكهرباء الأردنية. و فقر المياه و موقع الأردن الجغرافي و ظروفه السياسية و حجم شبكة الكهرباء فيها كلها عوامل تقود إلى مشاكل إضافية خطيرة",-1.0
فالأول يصحح مساري و الثاني يزيد من أصراري,1.0
فدمك عود مع عنبر,1.0
 ملعوب عليهم,-1.0
شو عادي يزم انتا ما عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير,-1.0
اللهم ارزقني كما ترزق البغاث ,1.0
الاخلاص اللهم انا نسالك الاخلاص فى القول و العمل و السر و العلن,1.0
حيوان,-1.0
ونشوف اغلى الاحبة في الروضة الرحيبة,1.0
 تأثير الغرب مبين على العرب المجانين,-1.0
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل",-1.0
 وربي كلبتي جات جلست عندي أول ما فتحت هالفيديو ويوم خلص التفت لها إلا وألاقيها نايمة ,-1.0
 عااااااااهاااااات,-1.0
 شكلك احول ... موب حوله ..,-1.0
كلهم معندهمش احساس,-1.0
صباح الورد والفل,1.0
بدكو تخلونا نشحد,-1.0
 هههههههههههههههههههه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير. الجنة اللتي ستدخلها أنت لا أريد دخولها، جهنم أشرفلي وأهون علي من أن أكون مع أحد الوهابيين المنحطين لواطيي الأطفال,-1.0
اللهم اصلح حال المسلمين و اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,1.0
اللهم أعنا على ذكرك و شكرك و حسن عبادتك,1.0
 أأأأأه لو لا القرآن لقلت (إن أنكر الأصوات لهذه الأصوات),-1.0
 و شباب صايع مو ملاقي ياكل ,-1.0
يا طيب صباحك كل خيرات,1.0
يارب وانت إدعيلي,1.0
احلى اشي في الحياة الاستقرار مع زوج صالح,1.0
 فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقياً وصوتياً وبدنياً اها وعقلياً بالتأكيد,-1.0
اللمة هي احلى اشي بالافراح,1.0
فشرت عينك ,-1.0
صباح العسل ,1.0
التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,-1.0
الحكومة قاعدة بتخبص و رايحين يدمروا البلد الله ينتقم منهم,-1.0
 هذا معوق جنة جورج وسوف,-1.0
  لااااااا وربي صوتها غلييييييظ جدا ,-1.0
 اه يا ابو القمل,-1.0
اللهم ما اصبح بي من نعمة أو بأحد من خلقك فمنك وحدك لا شريك فلك الحمد و لك الشكر,1.0
اللهم اعنا على انفسنا و اجعلنا نرى الدنيا صغيرة و الآخرة كبير,1.0
طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,1.0
انشاء الله نكون راضين بقضاء الله و لكننا نرجو من الله اللطف فيه,1.0
كلاب بتعوي,-1.0
من هي اصغيره اغاني والله انقلبت ادنيه﻿,-1.0
كلام ما في جدل,1.0
يا جماعه دعواتكم لاهل سوريا فهم في اشد الحاجه لدعائنا لنرفع اكفنا لرب الكون ان يحميهم و يحمي كل امة محمد لا تنسوهم من دعائكم و المال الذي وهبكم الله فيا بني ادم يوما لك ويوما عليك و كما تدين تدان,1.0
يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انو اشي منيح كان ما بزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. و يلي بحكي انو احنا امه جاهله ما بدها تطور .. بكون هوه الجاهل و عدو نفسو و عدو الانسانية .. و بلا ننوي و بلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل,-1.0
 وهاي المضروبه جايخه على وين,-1.0
اي تقدم اي ازدهار مفاعل النووية بعمل الامراض كثير اهم السرطان الله يبعده عنها و انا معهم رفض المفاعل النووية,-1.0
يلعن شرف خواتك ,-1.0
لى جماعه الاخوان الخسيسة كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقيين كل واحد منكم اخدنا لمطرح ومش عارفين واصليين لوين,-1.0
 بعضهم جايبينهم تمثيل ,-1.0
  الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقة ولا زبي تفو,-1.0
 بعن الله ابوك انت وعدوله يالسامج,-1.0
بسمه امل امس كانت محتاجه توضيح اكتر لان بعض الناس خلطت بينها و بين الواسطه ,1.0
و الله و الله عباره عن أعاده تدوير للمخلفات النوويه و الأردن منها بس الأرض و الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه و بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله لا يسامحكم,-1.0
فعلا البت جده لما تحتاج ليه هو الانسان الصادق و هو البستاهل تضحي عشان,1.0
"هو أحنا خلينآ نخلص أم هالبرجين الللي صرلهم 16 سنة و بعدين بنفكر نعمل نووي "" سلمي "" هههه من الديسي",-1.0
ايوه هيك بدنا ياكم يا شباب مش بس لعب وتسلاية,1.0
وعلي الله قصد السبيل,1.0
يا اخوان احنا قرفنا,-1.0
صحيح كل هالشغلة بس قرار وبظن كلنا قادرين نآخدة اذا استعنا وتوكلنا ع الله,1.0
وبشر الصابرين,1.0
 من زمان ماشفت مخلوقات فضائيه هع ,-1.0
استاذ عمرو يا ريت شوية تركيز على اخوتنا في بورما انهم يتعرضوا لحرب اباده حقيقيه,1.0
يا مقلب القلوب والابصار ثبت قلبى على دينك,1.0
تماما .اللهم لا تحرمنا الصدق في الكلام,1.0
الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه و اﻷهم من هيك انه المفاعل بحاجه لتبريد دائم و للاسف وين المي يلي عنا؟؟؟؟,-1.0
 طلعوا العرب اخس واخس واخس,-1.0
صباح الاماني المحققه باذن الله ,1.0
 اللقطة الكزميدية بالآخر دمها تقييييييييييل ,-1.0
الامل بالله كبيييييير انشالله,1.0
الابتسامه كلمه طيبه بغير حروف,1.0
للي مفكرين المفاعل راح يطورهم - المفاعل راح يدمر الأردن و المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى وهذا يعني أن الفاسدين رايحين يسمسروا و يلهفوا لما يوصلوا اشكل مفاعل للأردن و ناسين أن المفاعل يحتاج إلى بحر ماء للتبريد و نحن لانملك ماء للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقر المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية و التعليم ؟؟؟ لدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و احنا بنشتري الخربان منهم مشان التقدم و بلدنا بفضل الله لديها طاقة الرياح و طاقة الشمس لماذا لا يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.,-1.0
جزاك الله كل خير دكتور عمرو و ربنا يتقبل منا و منكم سائر الاعمال ,1.0
إلى بشار الاسد : كــــس أخـــتـــــك :),-1.0
اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,
احيانا الوحده تزيل بعضا من ألهموم ..,1.0
وان مدحتك بالقصائد ماوفيت,1.0
ربنا يكفينا هذا الشر,1.0
شي مؤكد انك حمار ,-1.0
يلعن شرفك شو واثقة من حالك ,-1.0
اذا اليابان اكلت هوا من النووي كيف احنا,-1.0
البنزين يجي من السعوديه بأقل الاسعار و الحكومه عندنا تدبل سعره,-1.0
ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش كل اشي بتعملو امريكا لازم نعملو و نصير امعه اصلا احنا دول امعه شو بتحكي امريكا ولا الضالين امين نفسي امريكا تقلدنا باشي واحد,-1.0
 مايستحون,-1.0
إنه دين يسر وليس بدين عسر,1.0
 حسبي الله ونعم الوكيل فيكم..,-1.0
 معتيه واضح انهم يمثلون,-1.0
شكلك دايما متاخرة عن المدرسة,-1.0
 برنامج فاشل جدا,-1.0
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل",-1.0
 كنت اشوف الاجانب اقول موسوسين,-1.0
ماأجمل الحب و الأخوة في الله أن نخاف على بعضنا حتى في علاقتنا مع ربنا شئ رائع جدا ,1.0
 فعلا اللي بيســتحوا ماتوا ,-1.0
 ما اسخفك,-1.0
يجب دائما أن نعتني بالورود لكي تكبر,1.0
ربى يزيدن ايمان وتقه يارررب,1.0
الله المستعان,1.0
اللهم اصلح نفوسنا لما يرضيك عنها,1.0
 انسان غريب ,-1.0
 اخر واحد يادلوخ ياحمير تمثيل,-1.0
اللهم اغفر لي ما لا يعلمون و اجعلني خيرا مما يظنون,1.0
اللهم ارزقنا العمل الصالح و الزريه الصالحه و ارزقنا يا الله حسن الخاتمه,1.0
 والله على بالي مجنون ,-1.0
مش من بني ادم انتي من جنس الحيوانات,-1.0
 الماء هى الحياة,1.0
